Project Name,Status,Message,Log File,
Doc_Rev_LOV_Migration,Success,EXE-Location:D:\dump\0SBT-PR-TC11UPGR\branches\R1.4.2\Binaries\R1.4.2_2017-07-06\Binaries\bin\Doc_Rev_LOV_Migration.exe,D:\dump\0SBT-PR-TC11UPGR\branches\R1.4.2\Binaries\R1.4.2_2017-07-06\Binaries\bin\logs\2017-07-06\Doc_Rev_LOV_Migration.log,
Processed_DocitemRev_Report,Success,EXE-Location:D:\dump\0SBT-PR-TC11UPGR\branches\R1.4.2\Binaries\R1.4.2_2017-07-06\Binaries\bin\Processed_DocitemRev_Report.exe,D:\dump\0SBT-PR-TC11UPGR\branches\R1.4.2\Binaries\R1.4.2_2017-07-06\Binaries\bin\logs\2017-07-06\Processed_DocitemRev_Report.log,
bt7_cadim_file_export,Success,EXE-Location:D:\dump\0SBT-PR-TC11UPGR\branches\R1.4.2\Binaries\R1.4.2_2017-07-06\Binaries\bin\bt7_cadim_file_export.exe,D:\dump\0SBT-PR-TC11UPGR\branches\R1.4.2\Binaries\R1.4.2_2017-07-06\Binaries\bin\logs\2017-07-06\bt7_cadim_file_export.log,
bt7_report_bom,Success,EXE-Location:D:\dump\0SBT-PR-TC11UPGR\branches\R1.4.2\Binaries\R1.4.2_2017-07-06\Binaries\bin\bt7_report_bom.exe,D:\dump\0SBT-PR-TC11UPGR\branches\R1.4.2\Binaries\R1.4.2_2017-07-06\Binaries\bin\logs\2017-07-06\bt7_report_bom.log,
bt7_report_csv,Success,EXE-Location:D:\dump\0SBT-PR-TC11UPGR\branches\R1.4.2\Binaries\R1.4.2_2017-07-06\Binaries\bin\bt7_report_csv.exe,D:\dump\0SBT-PR-TC11UPGR\branches\R1.4.2\Binaries\R1.4.2_2017-07-06\Binaries\bin\logs\2017-07-06\bt7_report_csv.log,
bt7_report_pdbrowser,Success,EXE-Location:D:\dump\0SBT-PR-TC11UPGR\branches\R1.4.2\Binaries\R1.4.2_2017-07-06\Binaries\bin\bt7_report_pdbrowser.exe,D:\dump\0SBT-PR-TC11UPGR\branches\R1.4.2\Binaries\R1.4.2_2017-07-06\Binaries\bin\logs\2017-07-06\bt7_report_pdbrowser.log,
