Project Name,Status,Message,Log File,
Accenture_CADIM_File_Export,Success,JAR-Location:D:\dump\0SBT-PR-TC11UPGR\branches\R1.4.2\Customization\Dispatcher\binaries\Accenture_CADIM_File_Export.jar,D:\dump\0SBT-PR-TC11UPGR\branches\R1.4.2\Customization\Dispatcher\logs\2017-06-16\Accenture_CADIM_File_Export.log,
Accenture_Report_BOM,Success,JAR-Location:D:\dump\0SBT-PR-TC11UPGR\branches\R1.4.2\Customization\Dispatcher\binaries\Accenture_Report_BOM.jar,D:\dump\0SBT-PR-TC11UPGR\branches\R1.4.2\Customization\Dispatcher\logs\2017-06-16\Accenture_Report_BOM.log,
