Project Name,Status,Message,Log File,
SBT_Workflow,Success,DLL-Location:D:\dump\0SBT-PR-TC11UPGR\branches\R1.4.2_2017-06-28\Binaries\bin\SBT_Workflow.dll,D:\dump\0SBT-PR-TC11UPGR\branches\R1.4.2_2017-06-28\Binaries\bin\logs\2017-06-28\SBT_Workflow.log,
libBT7_Extensions,Success,DLL-Location:D:\dump\0SBT-PR-TC11UPGR\branches\R1.4.2_2017-06-28\Binaries\bin\libBT7_Extensions.dll,D:\dump\0SBT-PR-TC11UPGR\branches\R1.4.2_2017-06-28\Binaries\bin\logs\2017-06-28\libBT7_Extensions.log,
