  bt7_documentClass  ,  bt7_documentSubClass  ,  bt7_documentSNType  ,Site,  UID_value 
Development,Condition,Information,Kimpo Productive Database,TbTVo7uN1cuxKD
Management and Process,Condition,---,Kimpo Productive Database,UMdVo7uN1cuxKD
Management and Process,Condition,---,Kimpo Productive Database,UURVo7uN1cuxKD
Development,Condition,Procedure instructions,Kimpo Productive Database,UYTVo7uN1cuxKD
Development,Condition,Procedure instructions,Kimpo Productive Database,UcVVo7uN1cuxKD
Development,Condition,Procedure instructions,Kimpo Productive Database,UgXVo7uN1cuxKD
Development,Condition,Procedure instructions,Kimpo Productive Database,UkZVo7uN1cuxKD
Development,Condition,Procedure instructions,Kimpo Productive Database,UobVo7uN1cuxKD
Development,Condition,Procedure instructions,Kimpo Productive Database,UsdVo7uN1cuxKD
Development,Condition,Procedure instructions,Kimpo Productive Database,UwfVo7uN1cuxKD
Development,Condition,Procedure instructions,Kimpo Productive Database,U4RVo7uN1cuxKD
Development,Condition,Directives and standards,Kimpo Productive Database,U8TVo7uN1cuxKD
Development,Condition,Directives and standards,Kimpo Productive Database,kAVVo7uN1cuxKD
Development,Condition,Directives and standards,Kimpo Productive Database,kEXVo7uN1cuxKD
Development,Condition,Procedure instructions,Kimpo Productive Database,kIZVo7uN1cuxKD
Development,Condition,Procedure instructions,Kimpo Productive Database,kMbVo7uN1cuxKD
Manufacturing,Specification,Others,Kimpo Productive Database,EdRVo7uN1cuxKD
Manufacturing,Specification,Others,Kimpo Productive Database,EVdVo7uN1cuxKD
Management and Process,Condition,Procedure instructions,Kimpo Productive Database,k9fVo7uN1cuxKD
Management and Process,Condition,Procedure instructions,Kimpo Productive Database,kZdVo7uN1cuxKD
Management and Process,Condition,Procedure instructions,Kimpo Productive Database,khRVo7uN1cuxKD
Management and Process,Condition,Procedure instructions,Kimpo Productive Database,klTVo7uN1cuxKD
Management and Process,Condition,Procedure instructions,Kimpo Productive Database,kpVVo7uN1cuxKD
Management and Process,Condition,Procedure instructions,Kimpo Productive Database,ktXVo7uN1cuxKD
Management and Process,Condition,Procedure instructions,Kimpo Productive Database,kxZVo7uN1cuxKD
Management and Process,Condition,Procedure instructions,Kimpo Productive Database,k1bVo7uN1cuxKD
Management and Process,Condition,Procedure instructions,Kimpo Productive Database,k5dVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,V7ZVo7uN1cuxKD
Development,Specification,Information,Kimpo Productive Database,V$dVo7uN1cuxKD
